,fra,eng,deu,spa
black,Où est le noir ?,Where is the black?,,
blue,Où est le bleu ?,Where is the blue?,,
brown,Où est le marron ?,Where is the brown?,,
green,Où est le vert ?,Where is the green?,,
grey,Où est le gris ?,Where is the grey?,,
orange,Où est l’orange ?,Where is the orange?,,
pink,Où est le rose ?,Where is the pink?,,
purple,Où est le violet ?,Where is the purple?,,
red,Où est le rouge ?,Where is the red?,,
white,Où est le blanc ?,Where is the white?,,
yellow,Où est le jaune ?,Where is the yellow?,,
