,alb,ara,chn,deu,ell,eng,fra,fin,hrv,ita,ind,jpn,pol,por,zsm,nld,rus,spa,vnm
A,,,,,,Where is the A?,Où est le A ?,,,,,,,,,,,,
B,,,,,,Where is the B?,Où est le B ?,,,,,,,,,,,,
C,,,,,,Where is the C?,Où est le C ?,,,,,,,,,,,,
D,,,,,,Where is the D?,Où est le D ?,,,,,,,,,,,,
E,,,,,,Where is the E?,Où est le E ?,,,,,,,,,,,,
F,,,,,,Where is the F?,Où est le F ?,,,,,,,,,,,,
G,,,,,,Where is the G?,Où est le G ?,,,,,,,,,,,,
H,,,,,,Where is the H?,Où est le H ?,,,,,,,,,,,,
I,,,,,,Where is the I?,Où est le I ?,,,,,,,,,,,,
J,,,,,,Where is the J?,Où est le J ?,,,,,,,,,,,,
K,,,,,,Where is the K?,Où est le K ?,,,,,,,,,,,,
