,alb,ara,bel,chn,deu,ell,eng,fin,fra,hin,hrv,ind,ita,jpn,nld,pol,por,rus,spa,vnm,zsm
0,Ku është zero?,اين صِفْر؟,Дзе нуль?,数字0在哪里？,Wo ist die Null?,Πού είναι το μηδέν;,Where is the zero ?,Missä nolla on?,Où est le zéro ?,शून्य कहाँ है?,Gdje je nula?,Where is zero?,Dov'è lo zero?,0つはどこにありますか？,Waar is de nul?,Gdzie jest zero?,Gdzie jest zero?,Где ноль?,¿Dónde está el cero?,Số không ở đâu?,Di manakah nol?
1,Ku është një?,اين وَاحِد؟,Дзе адзін?,数字1在哪里？,Wo ist die Eins?,Πού είναι το ένα;,Where is the one?,Missä yksi on?,Où est le un ?,एक कहाँ है?,Gdje je onaj?,Where's one?,Dov'è l'uno?,1つはどこにありますか？,Waar is de een?,Gdzie jest ten?,Gdzie jest jeden?,Где один?,¿Dónde está el uno?,Số một ở đâu?,Di manakah satu?
2,Ku është dy?,اين إِثنان؟,Дзе два?,数字2在哪里？,Wo ist die Zwei?,Πού είναι τα δύο;,Where is the two?,Missä kaksi on?,Où est le deux ?,दो कहाँ है?,Gdje je dvoje?,Where are two?,Dov'è il due?,2つはどこにありますか？,Waar is de twee?,Gdzie jest ta dwójka?,Gdzie jest dwa?,Где два?,¿Dónde está el dos?,Số hai ở đâu?,Di manakah dua?
3,Ku është tre?,اين ثَلاثة؟,Дзе тры?,数字3在哪里？,Wo ist die Drei?,Πού είναι τα τρία;,Where is the three?,Missä kolme on?,Où est le trois ?,तीन कहाँ है?,Gdje je troje?,Where are three?,Dov'è il tre?,3つはどこにありますか？,Waar is de drie?,Gdzie jest ta trójka?,Gdzie jest trzy?,Где три?,¿Dónde está el tres?,Số ba ở đâu?,Di manakah tiga?
4,Ku është katërt?,اين أرْبَعَة؟,Дзе чатыры?,数字4在哪里？,Wo ist die Vier?,Πού είναι τα τέσσερα;,Where is the four?,Missä neljä on?,Où est le quatre ?,चार कहाँ है?,Gdje je četvorica?,Where are four?,Dov'è il quattro?,4つはどこにありますか？,Waar is de vier?,Gdzie jest ta czwórka?,Gdzie jest cztery?,Где четыре?,¿Dónde está el cuatro?,Số bốn ở đâu?,Di manakah empat?
5,Ku është pesë?,اين خَمْسة؟,Дзе пяць?,数字5在哪里？,Wo ist die Fünf?,Πού είναι το πέντε;,Where is the five?,Missä viisi on?,Où est le cinq ?,पांच कहाँ है?,Gdje je petica?,Where's five?,Dov'è il cinque?,5つはどこにありますか？,Waar is de vijf?,Gdzie jest ta piątka?,Gdzie jest pięć?,Где пять?,¿Dónde está el cinco?,Số năm ở đâu?,Di manakah lima?
6,Ku është gjashtë?,اين سِتَّة؟,Дзе шэсьць?,数字6在哪里？,Wo ist die Sechs?,Πού είναι το έξι;,Where is the six?,Missä kuusi on?,Où est le six ?,छक्का कहाँ है?,Gdje je šestica?,Where's six?,Dov'è il sei?,6つはどこにありますか？,Waar is de zes?,Gdzie jest szóstka?,Gdzie jest sześć?,Где шесть?,¿Dónde está el seis?,Số sáu ở đâu?,Di manakah enam?
7,Ku është shtatë?,اين سَبْعَة؟,Дзе сем?,数字7在哪里？,Wo ist die Sieben?,Πού είναι το επτά;,Where is the seven?,Missä seitsemän on?,Où est le sept ?,सात कहाँ है?,Gdje je sedam?,Where's seven?,Dov'è il sette?,7つはどこにありますか？,Waar is de zeven?,Gdzie jest siódemka?,Gdzie jest siedem?,Где семь?,¿Dónde está el siete?,Số bảy ở đâu?,Di manakah tujuh?
8,Ku është tetë?,اين ثَمانِة؟,Дзе восем?,数字8在哪里？,Wo ist die Acht?,Πού είναι το οκτώ;,Where is the eight?,Missä kahdeksan on?,Où est le huit ?,आठ कहाँ है?,Gdje je osmica?,Where's eight?,Dov'è l'otto?,8つはどこにありますか？,Waar is de acht?,Gdzie jest ósemka?,Gdzie jest osiem?,Где восемь?,¿Dónde está el ocho?,Số tám ở đâu?,Di manakah delapan?
9,Ku është nëntë?,اين تِسْعة؟,Дзе дзевяць?,数字9在哪里？,Wo ist die Neun?,Πού είναι το εννιά;,Where is the nine?,Missä yhdeksän on?,Où est le neuf ?,नौ कहाँ है?,Gdje je devetka?,Where's the nine?,Dov'è il nove?,9つはどこにありますか？,Waar is de negen?,Gdzie jest dziewiątka?,Gdzie jest dziewięć?,Где девять?,¿Dónde está el nueve?,Số chín ở đâu?,Di manakah sembilan?
10,Ku është dhjetë?,اين عَشَرة؟,Дзе дзесяць?,数字10在哪里？,Wo ist die Zehn?,Πού είναι το δέκα;,Where is the ten?,Missä kymmenen on?,Où est le dix ?,दस कहाँ है?,Gdje je desetka?,Where's ten?,Dov'è il dieci?,10つはどこにありますか？,Waar is de tien?,Gdzie jest dziesiątka?,Gdzie jest dziesięć?,Где десять?,¿Dónde está el diez?,Số mười ở đâu?,Di manakah sepuluh?
