,fra,eng,deu,spa
Colon,_space,_noSpace,_noSpace,
StatsTitle,Statistiques,Statistics,Statistiken,
Aver,Moyenne,Average,Durchschnitt,Media
Med,Médiane,Median,Median,
TotalLength,Temps de jeu actif,Total active playtime,Zeit auf dem Spiel,
Shoots,Tirs,Shoots,Schüsse,
BubbleShoot,Bulles éclatées,Burst bubbles,Zum Platzen gebrachte Blasen,
HiddenItemsShoot,Images découvertes,Uncovered Images,Entdeckte Bilder,
Length,Temps effectif de jeu,Actual play Time,Gespielte Zeit,
ShootaverageLength,Temps de réaction moyen,Average reaction time,Durchschnittliche Reaktionszeit,
AverageLength,Temps moyen,Average time,Durchschnittliche Zeit,
ShootmedianLength,Temps de réaction médian,Median reaction time,Median-Reaktionszeit,
MedianLength,Temps médian,Median time,Median-Zeit,
StandDev,Écart-type,Standard deviation,Standardabweichung,
UncountedShoot,Tirs non comptés,Uncounted shoot,Nicht gezählte Schüsse,
ConfigTitle,Configuration,Configuration,Konfiguration,
Lang,Langue,Language,Sprache,
EyeTracker,Oculomètre,Eye Tracker,Eyetracker,
FileDir,Répertoire des fichiers,Files Directory ,Dateiverzeichnis,
FixationLength,Durée de la fixation (seconde),Fixation Length (second),Fixation Length  (second),
LayoutFile,Fichier de style,Style Sheets,Style Sheets,
